exercise_name,filepath,exercise_type,body_part,equipment,instructions
Kettlebell Angled Press,female/Kettlebell-Angled-Press-(female)_Back_.mp4,Strength,Shoulders,Kettlebell,Stand with feet shoulder-width apart holding a kettlebell at shoulder height | Rotate your torso slightly and press the kettlebell upward at an angle | Fully extend your arm overhead | Lower the kettlebell back to starting position | Repeat for desired reps
Cable Incline Single Arm Lat Pulldown,male/Cable-Incline-Single-Arm-Lat-Pulldown-(male)_Back_.mp4,Strength,Back,Cable,"Set an incline bench facing a cable machine | Sit on the bench and grip the handle with one hand | Pull the handle down towards your side, squeezing your back | Slowly return to starting position | Repeat for reps, then switch arms"
Incline Twisting Sit Up,female/Incline-Twisting-Sit-up-(version-2)-(female)_Waist.mp4,Strength,Waist,Body weight,"Lie back on an incline bench with feet secured | Place hands behind your head | Sit up while twisting your torso to one side | Lower back down and repeat, alternating sides"
Lever Preacher Curl,male/Lever-Preacher-Curl-(Turned-Torso)_Upper-Arms_.mp4,Strength,Upper Arms,Leverage machine,"Sit at the preacher curl machine | Place upper arms on the pad and grip handles | Curl the handles upward by flexing elbows | Squeeze at the top, then lower slowly | Repeat"
Band Standing Hip Extension,female/Band-standing-hip-extension-(female)_Hips.mp4,Strength,Hips,Band,Loop band around your ankles | Stand tall with feet hip-width apart | Shift weight to one leg and extend the other leg straight back against the band | Squeeze glutes at the top | Return to starting position and repeat
Band Bent Over Hip Extension,female/Band-bent-over-hip-extension-(female)_Hips.mp4,Strength,Hips,Band,"Anchor band at low point and loop around ankle | Stand bent over with hands supported on a bench or sturdy surface | Extend leg with band backward, keeping knee straight | Squeeze glutes at the top | Return leg to starting position and repeat"
Twisted Leg Raise,male/Twisted-Leg-Raise_Waist_.mp4,Strength,Waist,Body weight,"Lie on your back with legs extended | Place hands under your hips for support | Lift your legs up while twisting your hips to one side | Lower legs back down and repeat, alternating sides"
Dumbbell Preacher Curl Over Exercise Ball,female/Dumbbell-Preacher-Curl-over-Exercise-Ball-(female)_Upper-Arms.mp4,Strength,Upper Arms,"Dumbbell, Stability ball","Sit on a stability ball and hold a dumbbell in one hand | Lean forward and rest your upper arm on the ball | Curl the dumbbell upward, keeping your upper arm stationary | Lower the dumbbell back down slowly | Repeat for desired reps"
Cable Lying Fly,male/Cable-Lying-Fly_Chest-FIX_.mp4,Strength,Chest,Cable,Lie on a bench between two cable machines | Grasp handles with arms extended above chest | Lower arms out to sides in a wide arc | Bring arms back together above chest
Dumbbell Seated Bent Arm Lateral Raise,female/Dumbbell-Seated-Bent-Arm-Lateral-Raise-(female)_Sh.mp4,Strength,Shoulders,Dumbbell,Sit on a bench holding dumbbells at your sides | Bend elbows to about 90 degrees | Raise arms out to sides until elbows are shoulder height | Lower arms back down slowly | Repeat
Band Overhead Side Bend,female/Band-Overhead-Side-Bend-(female)_Waist_.mp4,Stretching,Waist,Band,"Stand with feet shoulder-width apart holding band overhead | Keep arms straight and core engaged | Slowly bend to one side, feeling a stretch along your waist | Return to center and repeat on the other side"
Barbell Incline Row,female/Barbell-Incline-Row-(female)_Back_.mp4,Strength,Back,Barbell,Set an incline bench at 30-45 degrees | Lie face down on the bench holding a barbell | Pull the barbell up toward your chest | Squeeze your shoulder blades together | Lower the barbell back down with control
Dumbbell Goblet Split Squat Front Foot Elevanted,female/Dumbbell-Goblet-Split-Squat-Front-Foot-Elevanted-(female)_Thighs-FIX_.mp4,Strength,Thighs,Dumbbell,"Stand with front foot elevated on a platform, holding a dumbbell at chest | Step back with other foot into a split stance | Lower your back knee toward the floor, keeping chest upright | Push through front heel to return to starting position"
Barbell Curl,male/Barbell-Curl_Upper-Arms-FIX2_.mp4,Strength,Upper Arms,Barbell,Stand upright holding a barbell with an underhand grip | Keep elbows close to your torso | Curl the barbell up toward your shoulders | Lower the barbell back down slowly
Band Side Bend,male/Band-side-bend-(male)_Waist.mp4,Strength,Waist,Resistance Band,"Stand on the resistance band with feet shoulder-width apart | Hold one end of the band in each hand at your sides | Keeping your back straight, bend sideways at the waist | Return to the starting position | Repeat on the other side"
Sled 45 Degree Leg Press,male/Sled-45-degrees-Leg-Press-(Back-POV)_Hips-FIX_.mp4,Strength,Thighs,Sled machine,Sit on the sled machine and place feet shoulder-width on platform | Release safety handles | Lower the platform by bending your knees to 90 degrees | Press the platform back up by extending your legs | Repeat for desired reps
Cable Incline Fly,male/Cable-Incline-Fly_Chest-FIX_.mp4,Strength,Chest,Cable,Set incline bench between cable machines | Lie back and grab handles with arms extended | Bring handles together above chest in a wide arc | Slowly return arms to starting position
Ez Bar Lying Bent Arms Pullover,female/EZ-Bar-Lying-Bent-Arms-Pullover-(female)_Back_.mp4,Strength,Chest,EZ Barbell,Lie on a bench holding EZ bar above chest | Bend elbows slightly and lower bar behind head | Keep arms bent and stretch back | Pull bar back to starting position
Barbell Low Bar Squat,male/Barbell-Low-Bar-Squat_Thighs-FIX_.mp4,Strength,Thighs,Barbell,"Position barbell low on upper back | Stand with feet shoulder-width apart | Lower hips back and down, keeping chest up | Drive through heels to stand back up"
Cable Lying Triceps Extension,male/Cable-Lying-Triceps-Extension-(with-Rope)_Upper-Arms_.mp4,Strength,Upper Arms,Cable,Lie on a bench facing up | Hold cable bar with both hands above chest | Bend elbows to lower bar toward forehead | Extend arms to return to starting position | Repeat
Dumbbell Goblet Squat,male/Dumbbell-Goblet-Squat_Thighs-FIX_.mp4,Strength,Thighs,Dumbbell,Stand with feet shoulder-width apart holding a dumbbell at chest level | Keep chest up and core engaged | Lower into a squat until thighs are parallel to the floor | Push through heels to return to standing
Lever Pec Deck Fly,male/Lever-Pec-Deck-Fly_Chest_.mp4,Strength,Chest,Leverage machine,Sit on the machine with back flat | Place arms on the pads with elbows slightly bent | Bring the pads together in front of your chest | Slowly return to starting position
Lever Triceps Extension,female/Lever-Triceps-Extension-(VERSION-3)-(female)_Upper.mp4,Strength,Upper Arms,Leverage machine,Adjust the seat and select desired weight | Sit down and grip the handles | Extend your arms to push the handles forward | Slowly return to starting position | Repeat for desired reps
Dumbbell Front Squat,male/Dumbbell-Front-Squat_Thighs-FIX_.mp4,Strength,Thighs,Dumbbell,Stand with feet shoulder-width apart holding dumbbells at shoulders | Keep chest up and core engaged | Lower into a squat until thighs are parallel to the floor | Push through heels to return to standing
Hyght Dumbbell Fly,female/Hyght-Dumbbell-Fly-(female)_Chest_.mp4,Strength,Chest,Dumbbell,Lie on a bench with dumbbells in each hand | Hold dumbbells above chest with palms facing each other | Lower arms out to sides in a wide arc | Bring dumbbells back together above chest
Close Grip Chin Up,female/Close-Grip-Chin-Up-(female)_Back-FIX.mp4,Strength,Back,Body weight,Grab pull-up bar with close underhand grip | Hang with arms fully extended | Pull chest up toward bar | Squeeze back and biceps at top | Lower slowly to starting position
Dumbbell Clean,female/Dumbbell-Clean-(female)_Thighs_.mp4,Strength,Full body,Dumbbell,"Stand with feet shoulder-width apart holding dumbbells | Lower into a squat, letting dumbbells hang at your sides | Explosively extend hips and knees, pulling dumbbells upward | Catch dumbbells at shoulder height in a partial squat | Stand up straight to finish"
Cable Hip Adduction,female/Cable-Hip-Adduction-(female)_Hips.mp4,Strength,Hips,Cable,"Attach ankle strap to low cable and your ankle | Stand sideways to the machine, holding support for balance | Bring your leg across your body against resistance | Slowly return to starting position | Repeat for reps, then switch legs"
Suspender Single Leg Squat,male/Suspender-Single-Leg-Squat-(male)_Hips_.mp4,Strength,Thighs,Suspension,"Stand facing suspension trainer holding handles | Lift one leg off the ground | Lower your body into a squat on the standing leg | Push through your heel to return to standing | Repeat for reps, then switch legs"
Lever Reverse Hyperextension,female/Lever-Reverse-Hyperextension-(plate-loaded)-(female)_Hips.mp4,Strength,Hips,Leverage machine,Lie face down on the reverse hyperextension machine | Hook your legs under the lever pads | Grip the handles for support | Lift your legs upward by contracting your glutes and lower back | Lower your legs back down with control
Kettlebell Bent Press,male/Kettlebell-Bent-Press_Waist-FIX_.mp4,Strength,Shoulders,Kettlebell,Stand with feet shoulder-width apart holding kettlebell at shoulder | Rotate feet and hips away from kettlebell side | Press kettlebell overhead while bending torso sideways | Extend arm fully and lock out elbow | Return to starting position
Chest Dip,female/Chest-Dip-(on-dip-pull-up-cage)-(female)_Chest_.mp4,Strength,Chest,Body weight,Grip parallel bars and support your body | Lower yourself by bending elbows and leaning forward | Lower until upper arms are parallel to the floor | Push back up to starting position
Cable Side Bend,female/Cable-Side-Bend-(female)_Waist_.mp4,Strength,Waist,Cable,"Stand sideways next to cable machine | Hold handle with one hand at your side | Bend sideways at the waist, lowering handle toward knee | Return to upright position | Repeat for reps, then switch sides"
Dumbbell Hammer Curl,male/Dumbbell-Hammer-Curl-(version-2)_Upper-Arms-FIX_.mp4,Strength,Upper Arms,Dumbbell,Stand upright holding dumbbells at your sides | Keep palms facing your body | Curl the weights up toward your shoulders | Lower back down slowly
Lever Ab Coaster Crunch,male/Lever-Ab-Coaster-Crunch-(male)_Waist_.mp4,Strength,Waist,Leverage machine,"Kneel on the ab coaster pad | Grip the handles firmly | Contract your abs to pull your knees upward along the track | Pause at the top, then slowly return to start"
Cable Shoulder Press,female/Cable-Shoulder-Press-(female)_Shoulders_.mp4,Strength,Shoulders,Cable,Set cables at shoulder height and grasp handles | Stand with feet shoulder-width apart | Press handles upward until arms are fully extended | Lower handles back to shoulder level | Repeat
Decline Crunch,female/Decline-Crunch-(female)_Waist_.mp4,Strength,Waist,Body weight,Lie on a decline bench with feet secured | Place hands behind head or across chest | Contract abs to lift shoulders off the bench | Lower back down with control | Repeat
Barbell Standing Military Press,female/Barbell-Standing-Military-Press-(without-rack)-(fe.mp4,Strength,Shoulders,Barbell,Stand with feet shoulder-width apart holding barbell at chest | Grip bar slightly wider than shoulders | Press barbell overhead until arms are fully extended | Lower barbell back to chest level | Repeat
Dumbbell Gobelt Curtsey Lunge,female/Dumbbell-Gobelt-Curtsey-Lunge-(female)_Thighs_.mp4,Strength,Thighs,Dumbbell,Hold a dumbbell vertically at your chest with both hands | Stand with feet hip-width apart | Step one leg diagonally behind you into a curtsey lunge | Lower your hips until your front thigh is parallel to the floor | Return to starting position and repeat on the other side
Dumbbell Single Leg Calf Raise,male/Dumbbell-Single-Leg-Calf-Raise_Calves-V2.mp4,Strength,Calves,Dumbbell,"Hold a dumbbell in one hand | Stand on one leg with the other foot off the ground | Raise your heel to stand on your toes | Lower your heel back down | Repeat for reps, then switch legs"
Lever Glute Abductors Press,female/Lever-Glute-Abductors-Press-(female)_Hips_.mp4,Strength,Hips,Leverage machine,Sit on the lever glute abductor machine | Place your outer thighs against the pads | Grip the handles and press your legs outward against resistance | Slowly return to starting position | Repeat for desired reps
Hyperextension,female/Hyperextension-(VERSION-2)-(female)_Hips_.mp4,Strength,Back,Body weight,Lie face down on a hyperextension bench | Hook your feet under the footpads | Cross arms over chest or behind head | Lower upper body towards the floor | Raise torso back up until your body is straight
Dumbbell Stiff Leg Deadlift,female/Dumbbell-Stiff-Leg-Deadlift-(female)_Hips.mp4,Strength,Hips,Dumbbell,"Stand with feet hip-width apart holding dumbbells | Keep legs mostly straight, slight knee bend | Hinge at hips to lower dumbbells down front of legs | Lower until you feel a stretch in hamstrings | Return to standing position"
Landmine Standing Side Bend,female/Landmine-Standing-Side-Bend-(female)_Waist_.mp4,Strength,Waist,Barbell,"Stand beside a landmine barbell with feet shoulder-width apart | Hold the end of the barbell with one hand at your side | Keeping your torso upright, bend sideways at the waist away from the bar | Return to the starting position | Repeat for reps, then switch sides"
Lever Seated Dip,female/Lever-Seated-Dip-(female)_Upper-Arms.mp4,Strength,Upper Arms,Leverage machine,Sit on the machine and grip the handles | Place your feet flat on the floor | Push the handles down by extending your arms | Slowly return to the starting position
Barbell Sumo Squat,female/Barbell-Sumo-Squat-(female)_Thighs_.mp4,Strength,Thighs,Barbell,"Stand with feet wide and toes pointed out | Hold barbell across upper back | Lower hips down, keeping chest up and knees out | Push through heels to return to standing"
Lever Incline Hammer Chest Press,female/Lever-Incline-Hammer-Chest-Press-(female)_Chest.mp4,Strength,Chest,Leverage machine,Sit on the incline bench and grip the handles | Press the handles upward until arms are extended | Lower the handles back to starting position | Repeat for desired reps
Lever Seated Squat Calf Raise On Leg Press Machine,female/Lever-Seated-Squat-Calf-Raise-on-Leg-Press-Machine.mp4,Strength,Calves,Leverage machine,Sit on the leg press machine with feet on platform | Place toes on edge and heels hanging off | Press through the balls of your feet to raise your heels | Lower heels back down for a full stretch | Repeat
Dumbbell Lying Hammer Press,male/Dumbbell-Lying-Hammer-Press_Chest-FIX_.mp4,Strength,Chest,Dumbbell,Lie on a bench holding dumbbells with neutral grip | Keep elbows close to your body | Press dumbbells upward until arms are extended | Lower dumbbells back to chest level | Repeat
Dumbbell Straight Arm Pullover,female/Dumbbell-Straight-Arm-Pullover-(VERSION-2)-(female.mp4,Strength,Chest,Dumbbell,Lie on a bench holding a dumbbell with both hands above your chest | Keep arms straight and lower the dumbbell back over your head | Pause briefly | Raise the dumbbell back to the starting position
Barbell Split Squat,male/Barbell-Split-Squat-(VERSION-2)_Hips_.mp4,Strength,Thighs,Barbell,"Stand with one foot forward and barbell on your upper back | Lower your back knee toward the floor, keeping front knee over ankle | Push through front heel to return to starting position | Repeat for reps, then switch legs"
Kettlebell Goblet Squat,female/Kettlebell-Goblet-Squat-(female)_Thighs_.mp4,Strength,Thighs,Kettlebell,Stand with feet shoulder-width apart holding kettlebell at chest | Keep chest up and core engaged | Squat down by bending knees and hips | Lower until thighs are parallel to floor | Push through heels to return to standing
Old School Reverse Extensions,female/Old-School-Reverse-Extensions-(female)_Upper-Arms_.mp4,Strength,Back,Body weight,"Lie face down on a bench with hips at the edge | Hold onto the bench for support | Lift your legs upward behind you, squeezing your glutes and lower back | Lower your legs back down with control | Repeat"
Smith Chair Squat,male/Smith-Chair-Squat_Thighs-FIX_.mp4,Strength,Thighs,Smith machine,Set bar on Smith machine at shoulder height | Stand with feet shoulder-width apart under bar | Lower into a squat as if sitting in a chair | Push through heels to return to standing position
Cable Donkey Diagonal Kick,male/Cable-Donkey-Diagonal-Kickback-(male)_Hips_.mp4,Strength,Hips,Cable,Attach ankle strap to low cable | Get on all fours facing away from machine | Kick leg back and diagonally upward | Squeeze glutes at top | Return to start and repeat
Cable Standing Hip Extension,male/Cable-Standing-Hip-Extension_Hips-FIX_.mp4,Strength,Hips,Cable,"Attach ankle strap to low cable and secure to one ankle | Stand facing the machine, hold onto support for balance | Keeping leg straight, extend your strapped leg backward | Squeeze glutes at the top, then return to starting position"
Dumbbell Sumo Squat,male/Dumbbell-Sumo-Squat-(male)_Thighs_.mp4,Strength,Thighs,Dumbbell,Stand with feet wide and toes pointed out | Hold a dumbbell with both hands in front of you | Lower your body by bending your knees and hips | Keep your back straight and go down until your thighs are parallel to the floor | Push through your heels to return to standing
Dumbbell Pronate Grip Triceps Extension,female/Dumbbell-Pronate-grip-Triceps-Extension-(female)_Upper-Arms.mp4,Strength,Upper Arms,Dumbbell,"Stand or sit holding dumbbells with palms facing down | Raise dumbbells overhead, arms fully extended | Lower dumbbells behind your head by bending elbows | Extend arms back to starting position"
Cable Standing Crunch,male/Cable-Standing-Crunch-(with-rope-attachment)_Waist.mp4,Strength,Waist,Cable,"Attach rope to high pulley | Stand facing cable machine, grasp rope with both hands | Step back, feet shoulder-width apart | Crunch forward, bringing elbows toward knees | Return slowly to starting position"
Band Twist,male/Band-twist-(up-down)_Waist-(male).mp4,Strength,Waist,Resistance Band,"Attach band at chest height | Stand sideways to anchor, hold band with both hands | Keep arms extended, rotate torso away from anchor | Return slowly to start position"
Barbell Front Squat,male/Barbell-Front-Squat_Hips-FIX_.mp4,Strength,Thighs,Barbell,Stand with feet shoulder-width apart and barbell resting on front shoulders | Keep chest up and elbows high | Lower into a squat by bending knees and hips | Push through heels to return to standing position
Lever T Bar Row,female/Lever-T-bar-Row-(plate-loaded)-(female)_Back.mp4,Strength,Back,Leverage machine,Load weight onto the machine | Stand with feet shoulder-width apart and grip handles | Keep back straight and pull handles toward your torso | Squeeze shoulder blades together | Slowly return to starting position
Barbell Romanian Deadlift,male/Barbell-Romanian-Deadlift_Hips-FIX_.mp4,Strength,Hips,Barbell,Stand with feet hip-width apart holding barbell | Keep back straight and knees slightly bent | Hinge at hips to lower barbell down front of legs | Lower until you feel a stretch in hamstrings | Return to standing position
Band Upper Crunch,female/Band-Upper-Crunch-(female)_Waist_.mp4,Strength,Waist,Band,"Attach band to a secure anchor above you | Lie on your back with knees bent, holding band handles | Engage your core and crunch upward | Slowly lower back down"
Walking On Incline Treadmill,female/Walking-on-Incline-Treadmill-(female)_Cardio_.mp4,Aerobic,Cardio,Leverage machine,Set treadmill to desired incline | Start walking at a comfortable pace | Maintain upright posture | Continue for desired duration
Dumbbell Alternate Biceps Curl,male/Dumbbell-Alternate-Biceps-Curl_Upper-Arms-FIX_.mp4,Strength,Upper Arms,Dumbbell,Stand upright holding a dumbbell in each hand | Keep elbows close to your torso | Curl one dumbbell up while keeping the other arm still | Lower the dumbbell and repeat with the opposite arm | Alternate arms for desired reps
Dumbbell Seated Lateral Raise,female/Dumbbell-Seated-Lateral-Raise-(female)_Shoulders_.mp4,Strength,Shoulders,Dumbbell,Sit on a bench with back straight holding dumbbells at sides | Keep arms slightly bent | Raise arms out to sides until shoulder height | Lower dumbbells back down slowly
Band Narrow Grip High Row,female/Band-Narrow-Grip-High-Row-(VERSION-2)-(female)_Bac.mp4,Strength,Back,Band,"Attach band to a sturdy anchor at chest height | Grab the band with both hands, palms facing each other, hands close together | Step back to create tension and stand tall | Pull the band towards your upper chest, keeping elbows close to your body | Slowly return to starting position"
Smith Standing Leg Calf Raise,male/Smith-Standing-Leg-Calf-Raise_Calves_.mp4,Strength,Calves,Smith machine,"Set barbell on Smith machine at shoulder height | Stand under bar with balls of feet on a raised platform | Unrack bar and stand tall | Raise heels as high as possible, contracting calves | Lower heels back down and repeat"
Barbell Sumo Romanian Deadlift,female/Barbell-Sumo-Romanian-Deadlift-(female)_Hips_.mp4,Strength,Hips,Barbell,"Stand with feet wide and barbell in front | Grip barbell with both hands, arms inside knees | Keep back straight, hinge at hips to lower barbell | Lower until you feel a stretch in hamstrings | Return to standing position"
Cable Standing Chest Press,male/Cable-Standing-Chest-Press_Chest_.mp4,Strength,Chest,Cable,Set cables at chest height and grab handles | Stand with one foot forward for balance | Press handles forward until arms are extended | Slowly return to starting position
Lever Seated Leg Curl,male/Lever-Seated-Leg-Curl-(plate-loaded)-(male)_Thighs.mp4,Strength,Thighs,Leverage machine,Sit on the machine and adjust the pad above your legs | Place your lower legs under the lever pad | Grip the handles and curl your legs downwards | Slowly return to starting position
Barbell Full Zercher Squat,female/Barbell-full-Zercher-Squat-(female)_Thighs_.mp4,Strength,Thighs,Barbell,"Set barbell in crook of elbows and hold close to chest | Stand with feet shoulder-width apart | Squat down by bending hips and knees, keeping chest up | Lower until thighs are parallel to floor | Push through heels to return to standing"
Rowing,female/Rowing-(with-rowing-machine)-(female)_Cardio.mp4,Aerobic,Full body,Leverage machine,Sit on the rowing machine and strap in your feet | Grab the handle with both hands | Push back with your legs while pulling the handle to your chest | Extend your arms and bend your knees to return to starting position
Cable Standing Rear Delt Row,male/Cable-Standing-Rear-Delt-Row-(with-rope)_Shoulder_.mp4,Strength,Shoulders,Cable,"Stand facing cable machine with handles at shoulder height | Grab handles with palms facing down | Step back and stand tall | Pull handles toward your upper chest, keeping elbows high and out | Slowly return to starting position"
Dumbbell V Up,male/Dumbbell-V-up-(VERSION-3)_Waist_.mp4,Strength,Waist,Dumbbell,"Lie on your back holding a dumbbell with both hands overhead | Lift your legs and upper body simultaneously to form a ""V"" shape | Reach the dumbbell toward your feet at the top | Lower back down with control | Repeat"
Kettlebell Front Squat,male/Kettlebell-Front-Squat_Thighs_.mp4,Strength,Thighs,Kettlebell,"Hold kettlebell at chest with both hands | Stand with feet shoulder-width apart | Lower into a squat, keeping chest up | Push through heels to stand back up"
Dumbbell Palm Rotational Bent Over Row,female/Dumbbell-Palm-Rotational-Bent-Over-Row-(female)_Back.mp4,Strength,Back,Dumbbell,"Stand with feet shoulder-width apart holding dumbbells | Bend at hips, keeping back straight and torso nearly parallel to floor | Let arms hang down, palms facing each other | Row dumbbells up toward your waist while rotating palms to face your torso | Lower dumbbells back down, rotating palms to starting position"
Side To Side Leg Swings,male/Side-to-Side-Leg-Swings-(male)_Hips.mp4,Stretching,Hips,Body weight,"Stand tall with feet hip-width apart | Hold onto a wall or support for balance | Swing one leg side to side across your body | Repeat for several reps, then switch legs"
Barbell Prone Incline Curl,male/Barbell-Prone-Incline-Curl_Upper-Arms-FIX_.mp4,Strength,Upper Arms,Barbell,"Set an incline bench at 45 degrees | Lie face down with chest against the bench | Hold barbell with underhand grip, arms hanging down | Curl the barbell up toward your shoulders | Lower slowly to starting position"
Dumbbell Standing Inner Biceps Curl,female/Dumbbell-Standing-Inner-Biceps-Curl-(version-2)-(f.mp4,Strength,Upper Arms,Dumbbell,Stand upright holding dumbbells at your sides | Rotate palms to face forward and slightly outward | Curl dumbbells up while keeping elbows close to your body | Squeeze biceps at the top | Lower dumbbells slowly to starting position
Smith Bent Over Row,female/Smith-Bent-Over-Row-(VERSION-2)-(female)_Back_.mp4,Strength,Back,Smith machine,"Set bar on Smith machine to mid-shin height | Stand with feet shoulder-width apart and grip bar with both hands | Bend knees slightly and hinge at hips, keeping back straight | Pull bar toward lower chest, squeezing shoulder blades | Lower bar back down with control"
Smith Sumo Squat,female/Smith-Sumo-Squat-(female)_Hips_.mp4,Strength,Thighs,Smith machine,"Set bar on Smith machine at shoulder height | Stand with feet wide and toes pointed out | Position bar across upper back and grip firmly | Lower body by bending knees and hips, keeping chest up | Push through heels to return to starting position"
Barbell Deadlift,male/Barbell-Deadlift-(side-POV)-(male)_Hips_.mp4,Strength,Hips,Barbell,"Stand with feet hip-width apart and barbell over mid-foot | Grip the bar just outside your knees | Keep back straight, chest up, and lift bar by extending hips and knees | Stand fully upright | Lower bar back to the ground with control"
Barbell Close Grip Bench Press,male/Barbell-Close-Grip-Bench-Press_Upper-Arms-FIX_.mp4,Strength,Upper Arms,Barbell,Lie on a bench holding barbell with close grip | Lower barbell to your chest | Press barbell back up to starting position | Repeat for desired reps
Dumbbell One Arm Lateral Raise,female/Dumbbell-One-Arm-Lateral-Raise-(female)_Shoulder.mp4,Strength,Shoulders,Dumbbell,"Stand upright holding a dumbbell at your side | Keep your arm straight and raise it out to the side until shoulder height | Pause briefly at the top | Lower the dumbbell back down slowly | Repeat for reps, then switch arms"
Farmers Walk,female/Farmers-walk-(female)_Cardio_.mp4,Strength,Full body,Dumbbell,Stand upright holding dumbbells at your sides | Keep your back straight and shoulders back | Walk forward for a set distance or time | Set the weights down safely
Dumbbell Zottman Preacher Curl,female/Dumbbell-Zottman-Preacher-Curl-(female)_Upper-Arms.mp4,Strength,Upper Arms,Dumbbell,Sit at preacher bench holding dumbbells with palms up | Curl weights up toward shoulders | Rotate wrists so palms face down at top | Lower weights slowly with palms down | Rotate wrists back to starting position
Band Reverse Crunch,female/Band-Reverse-Crunch-(female)_Waist_.mp4,Strength,Waist,Band,"Lie on your back with a resistance band looped around your feet | Hold the band ends for stability | Bring your knees toward your chest, lifting your hips off the floor | Slowly lower back to starting position"
Dumbbell Incline Hammer Press,female/Dumbbell-Incline-Hammer-Press-(female)_Chest.mp4,Strength,Chest,Dumbbell,Set an incline bench and sit with dumbbells in each hand | Hold dumbbells with neutral grip at chest level | Press dumbbells upward until arms are extended | Lower dumbbells back to chest level | Repeat
Dumbbell Bar Grip Sumo Squat,female/Dumbbell-Bar-Grip-Sumo-Squat-(female)_Hips.mp4,Strength,Thighs,Dumbbell,"Stand with feet wide and toes pointed out | Hold a dumbbell vertically with both hands (bar grip) between your legs | Lower your body into a squat, keeping chest up and back straight | Push through your heels to return to standing position"
Dumbbell Close Grip Press,female/Dumbbell-Close-grip-Press-(female)_Upper-Arms_.mp4,Strength,Chest,Dumbbell,Lie on a bench holding dumbbells close together above chest | Keep elbows close to your body | Lower dumbbells to chest | Press back up to starting position
Band Hip Abduction,female/Band-hip-abduction-(female)_Hips.mp4,Strength,Hips,Resistance Band,Place resistance band around your legs above the knees | Stand with feet hip-width apart | Shift weight to one leg and lift the other leg out to the side | Lower leg back to starting position | Repeat on both sides
Ez Barbell Anti Gravity Press,male/EZ-Barbell-Anti-Gravity-Press_Shoulders-FIX_.mp4,Strength,Chest,EZ Barbell,Lie on a bench holding EZ barbell above chest | Lower barbell slowly to chest | Press barbell back up to starting position | Repeat for desired reps
Ez Barbell Close Grip Curl,male/EZ-Barbell-Close-grip-Curl_Upper-Arms_.mp4,Strength,Upper Arms,EZ Barbell,Stand holding EZ barbell with close grip | Keep elbows close to sides | Curl bar up toward shoulders | Squeeze biceps at top | Lower bar slowly to starting position
Cable Biceps Curl,female/Cable-Biceps-Curl-(SZ-bar)-(female)_Upper-arms_.mp4,Strength,Upper Arms,Cable,Stand facing the cable machine | Grasp the cable handle with an underhand grip | Keep elbows close to your sides | Curl the handle upward toward your shoulders | Lower slowly to starting position
Chin Up,male/Chin-Up_Back-FIX_.mp4,Strength,Back,Body weight,Grip the bar with palms facing you | Hang with arms fully extended | Pull your chin above the bar | Lower yourself back down with control
Smith One Leg Floor Calf Raise,female/Smith-One-Leg-Floor-Calf-Raise-(female)_Calves_.mp4,Strength,Calves,Smith machine,"Set bar on Smith machine at shoulder height | Stand under bar with one foot on floor, other foot off ground | Unrack bar and stand tall | Raise heel to stand on tiptoe | Lower heel back down and repeat"
Lever Incline Chest Press,female/Lever-Incline-Chest-Press-(female)_Chest_.mp4,Strength,Chest,Leverage machine,Sit on the incline bench and grip the handles | Press the handles upward until arms are extended | Lower the handles back to chest level | Repeat for desired reps
Dumbbell Hammer Preacher Curl,female/Dumbbell-Hammer-Preacher-Curl-(female)_Forearms_.mp4,Strength,Upper Arms,Dumbbell,Sit at a preacher bench holding dumbbells with neutral grip | Rest upper arms on the pad | Curl the dumbbells up while keeping wrists straight | Squeeze at the top | Lower slowly to starting position
Dumbbell Lying Triceps Extension,male/Dumbbell-Lying-Triceps-Extension_Upper-Arms-FIX_.mp4,Strength,Upper Arms,Dumbbell,Lie on a bench holding dumbbells above chest | Keep upper arms still and bend elbows to lower dumbbells toward forehead | Extend arms to return to starting position | Repeat
Band Kneeling Crunch,female/Band-Kneeling-Crunch-(female)_Waist_.mp4,Strength,Waist,Band,"Attach band above head height | Kneel facing away, hold band behind neck | Crunch forward, engaging abs | Return slowly to starting position"
Dumbbell Alternate Shoulder Press,male/Dumbbell-Alternate-Shoulder-Press-(male)_Shoulders.mp4,Strength,Shoulders,Dumbbell,Stand with feet shoulder-width apart holding dumbbells at shoulder height | Press one dumbbell overhead while keeping the other at shoulder level | Lower the dumbbell back to shoulder height | Press the other dumbbell overhead | Alternate arms for desired reps
Dumbbell One Arm Row,female/Dumbbell-One-Arm-Row-(rack-support)-(female)_Back_.mp4,Strength,Back,Dumbbell,"Place one knee and hand on a bench for support | Hold a dumbbell in the opposite hand, arm extended | Pull the dumbbell up toward your hip, keeping your back flat | Lower the dumbbell back down with control | Repeat for reps, then switch sides"
Dumbbell Pullover On Exercise Ball,female/Dumbbell-Pullover-on-Exercise-Ball-(female)_Chest_.mp4,Strength,Chest,"Dumbbell, Stability ball","Lie with upper back on stability ball, feet flat on floor | Hold dumbbell with both hands above chest | Lower dumbbell back over head in an arc | Raise dumbbell back to starting position"
Dumbbell Incline Front Raise,female/Dumbbell-Incline-Front-Raise-(female)_Shoulders_.mp4,Strength,Shoulders,Dumbbell,Set an incline bench to about 45 degrees and sit with your back against it | Hold dumbbells at your sides with arms extended down | Raise the dumbbells straight in front of you to shoulder height | Lower them back down slowly
